text,label,materia_suggested,numero,source_file
C 136 D,UNKNOWN,,91,2023-GB-ENEM_AMARELO_DIA2.pdf
A 137 C,UNKNOWN,,92,2023-GB-ENEM_AMARELO_DIA2.pdf
A 138 E,UNKNOWN,,93,2023-GB-ENEM_AMARELO_DIA2.pdf
A 139 C,UNKNOWN,,94,2023-GB-ENEM_AMARELO_DIA2.pdf
D 140 A,UNKNOWN,,95,2023-GB-ENEM_AMARELO_DIA2.pdf
C 141 C,UNKNOWN,,96,2023-GB-ENEM_AMARELO_DIA2.pdf
C 142 C,UNKNOWN,,97,2023-GB-ENEM_AMARELO_DIA2.pdf
C 143 B,UNKNOWN,,98,2023-GB-ENEM_AMARELO_DIA2.pdf
C 144 D,UNKNOWN,,99,2023-GB-ENEM_AMARELO_DIA2.pdf
D 145 E,UNKNOWN,,100,2023-GB-ENEM_AMARELO_DIA2.pdf
D 146 C,UNKNOWN,,101,2023-GB-ENEM_AMARELO_DIA2.pdf
D 147 B,UNKNOWN,,102,2023-GB-ENEM_AMARELO_DIA2.pdf
A 148 E,UNKNOWN,,103,2023-GB-ENEM_AMARELO_DIA2.pdf
B 149 E,UNKNOWN,,104,2023-GB-ENEM_AMARELO_DIA2.pdf
D 150 A,UNKNOWN,,105,2023-GB-ENEM_AMARELO_DIA2.pdf
C 151 B,UNKNOWN,,106,2023-GB-ENEM_AMARELO_DIA2.pdf
A 152 E,UNKNOWN,,107,2023-GB-ENEM_AMARELO_DIA2.pdf
C 153 A,UNKNOWN,,108,2023-GB-ENEM_AMARELO_DIA2.pdf
D 154 B,UNKNOWN,,109,2023-GB-ENEM_AMARELO_DIA2.pdf
B 155 D,UNKNOWN,,110,2023-GB-ENEM_AMARELO_DIA2.pdf
E 156 D,UNKNOWN,,111,2023-GB-ENEM_AMARELO_DIA2.pdf
E 157 A,UNKNOWN,,112,2023-GB-ENEM_AMARELO_DIA2.pdf
E 158 A,UNKNOWN,,113,2023-GB-ENEM_AMARELO_DIA2.pdf
D 159 D,UNKNOWN,,114,2023-GB-ENEM_AMARELO_DIA2.pdf
C 160 D,UNKNOWN,,115,2023-GB-ENEM_AMARELO_DIA2.pdf
E 161 A,UNKNOWN,,116,2023-GB-ENEM_AMARELO_DIA2.pdf
D 162 B,UNKNOWN,,117,2023-GB-ENEM_AMARELO_DIA2.pdf
